Offer,Image,Terms and Conditions,Link,Eligible Credit Cards,Eligible Debit Cards,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,ICSI Diamond Bobcard (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Indusind Samman RuPay Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Myntra Kotak Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Union Bank of India Rupay Select Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Paytm SBI Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,BPCL SBI Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,IDFC First Power Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Airtel Axis Bank Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,YES Bank Paisabazaar Paisasave Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Yatra SBI Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,IndusInd Bank Platinum RuPay Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Axis KWIK Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,TVS Credit RBL Bank Gold Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Reliance SBI Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,Canara Bank Rupay Platinum Credit Card (Rupay),,
Jupiter Rupay Offer,https://cinepolisindia.com/_next/image?url=https%3A%2F%2Fapi_new.cinepolisindia.com%2Fuploads%2Fimages%2Foffers%2F1751882458263-462776800-Jupiter.jpg.jpg&w=384&q=75,"Jupiter Offer Details:

Get Flat cashback of 100 using Jupiter UPI

Minimum Order value : 250

Offer is applicable on Cinepolis movies and F&B

Offer is applicable only on first transactions done using Jupiter UPI

Offer can be availed only once per user during the offer period

Offer is only applicable to Rupay CC linked or Savings account with Jupiter UPI and applicable only on the first transaction.

The offer is applicable to all first time Jupiter customers

Cashback will be credited in the form of Jupiter Jewels which can be viewed and redeemed by logging into the Jupiter app.

Jupiter Jewels can be redeemed for a wide range of products and services within the Jupiter app including Flat Cashback bill payments Digi Gold and more.

This offer is valid till 30th September 2025

For any queries or assistance related to the offer please contact: +91 8655055086

 

Terms and Conditions:

The offer is valid on transactions undertaken on the web and app of Cinepolis.

Offer is only valid for cinemas listed on Cinpolis digital channels.

Movie tickets are subject to availability at the respective Cinpolis Cinemas.

Tickets once bought shall be considered sold and cannot be cancelled refunded or exchanged in any form whatsoever.

Once the booking is completed the confirmation e-mail/SMS received from Cinpolis needs to be scanned/exchanged with cinema representative to enter the cinema premises.

Cinpolis India Private Limited general rules & regulations are applicable.

Customers are not bound in any way to participate in this program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".

In addition to the above this offer is also subject to www.cinepolisindia.com. Kindly refer to www.cinepolisindia.com Terms & Conditions on the homepage.

This offer is non-transferable and non-exchangeable.

Any user taking advantage of this offer shall be deemed to have read understood and accepted these terms and conditions

",https://cinepolisindia.com/offer-details/33,IDFC First Earn RuPay Credit Card (Rupay),,
